shū luǎn guǎn ái	輸卵管癌
dú yōng qì fēn zhèng	毒壅氣分證
dú yōng shàng jiāo zhèng	毒壅上焦證
dú yùn kuì làn zhèng	毒蘊潰爛證
dú zài qì yíng zhèng	毒在氣營證
dú zhì jī fū zhèng	毒滯肌膚證
duàn céng chéng xiàng shù	斷層成像術
duàn céng shè yǐng shù	斷層攝影術
duǎn cháng zōng hé zhēng	短腸綜合徵
duàn ěr zài jiē shù	斷耳再接術
duǎn jǐng zōng hé zhēng	短頸綜合徵
duǎn jǐng zōng hé zhèng	短頸綜合症
duǎn lèi zōng hé zhēng	短肋綜合徵
duàn zhǐ zài zhí shù	斷指再植術
duàn zhī zài zhí shù	斷肢再植術
duǎn zhī zōng hé zhēng	短肢綜合徵
duì lì fǎn kàng zhèng	對立反抗症
duì rén kǒng jù zhèng	對人恐懼症
duì zhǎng chéng xíng shù	對掌成形術
duō fā xìng jī xíng	多發性畸形
duō fā xìng jī yán	多發性肌炎
duō fā xìng jiē zhǒng	多發性癤腫
duō fā xìng nóng zhǒng	多發性膿腫
duō jí shén jīng yuán	多極神經元
duō jiǎo xì bāo ái	多角細胞癌
duō pǔ zhào xiàng shù	多譜照像術
duō xíng xìng xiàn liú	多形性腺瘤
duō zhǐ zhǐ jī xíng	多指趾畸形
è bàn xiū fù shù	齶瓣修復術
é bǎn zhàng jìng mài	額板障靜脈
é bù qián yí shù	額部前移術
é dòu gēn zhì shù	額竇根治術
é dòu kāi chuāng shù	額竇開窗術
é dòu qiē kāi shù	額竇切開術
è è xìng zhǒng liú	齶惡性腫瘤
è fān suō duǎn shù	齶帆縮短術
è gōng chéng xíng shù	齶弓成形術
è hòu tiān jī xíng	齶後天畸形
é jī xuán diào shù	額肌懸吊術
