zì jǐ dǎ de	自己打的
sān gè guā	三個瓜
sān gè guāng	三個光
sān gè guǒ	三個果
sān gè hán	三個寒
sān gè hù	三個戶
sān gè huǒ	三個火
sān gè jí	三個吉
sān gè jiǎ	三個甲
sān gè jiā	三個加
sān gè jiè	三個介
sān gè jīn	三個金
sān gè jiǔ	三個九
sān gè kě	三個可
sān gè kè	三個客
sān gè kōng	三個空
sān gè kǒu	三個口
sān gè lǎo	三個老
sān gè le	三個了
sān gè léi	三個雷
sān gè lì	三個力
sān gè lì	三個立
sān gè lín	三個林
sān gè lóng	三個龍
sān gè lù	三個鹿
sān gè lù	三個圥
sān gè mǎ	三個馬
sān gè ma	三個亇
sān gè máo	三個毛
sān gè mén	三個門
sān gè mǐ	三個米
sān gè miàn	三個麵
sān gè mù	三個木
sān gè mù	三個目
sān gè nán	三個男
sān gè niǎo	三個鳥
sān gè niǎo	三個鳥
sān gè niè	三個㖖
sān gè niú	三個牛
sān gè nǚ	三個女
sān gè piě	三個丿
sān gè qī	三個七
sān gè qǐ	三個企
sān gè qiàn	三個欠
sān gè qiān	三個千
sān gè qiāng	三個羗
sān gè qín	三個秦
sān gè qù	三個去
sān gè quán	三個泉
sān gè quǎn	三個犬
sān gè quán	三個全
sān gè quǎn	三個𡿨
sān gè rén	三個人
sān gè rì	三個日
sān gè ruò	三個若
sān gè shān	三個山
sān gè shǎo	三個少
sān gè shé	三個舌
sān gè shě	三個舍
sān gè shēn	三個申
sān gè shēng	三個生
sān gè shì	三個市
sān gè shí	三個十
sān gè shì	三個士
sān gè shí	三個石
sān gè shǒu	三個手
sān gè shù	三個束
sān gè shuǐ	三個水
sān gè shuò	三個朔
sān gè sī	三個厶
sān gè tài	三個太
sān gè tián	三個田
sān gè tiān	三個天
sān gè tiáo	三個𠧪
sān gè tǔ	三個土
sān gè tù	三個兔
sān gè tuǒ	三個妥
sān gè wǎng	三個罒
sān gè wén	三個文
sān gè xià	三個夏
sān gè xiān	三個㔾
sān gè xiàn	三個県
sān gè xiāng	三個香
sān gè xiǎo	三個小
sān gè xīn	三個心
sān gè xìng	三個興
sān gè yán	三個言
sān gè yáng	三個羊
sān gè yè	三個頁
sān gè yě	三個也
sān gè yí	三個宜
sān gè yīn	三個因
sān gè yòng	三個用
sān gè yòu	三個又
sān gè yú	三個魚
sān gè yù	三個玉
sān gè yuán	三個原
sān gè yuán	三個厡
sān gè yuè	三個月
sān gè yún	三個雲
sān gè zhǎo	三個爪
sān gè zhǐ	三個止
sān gè zhí	三個直
sān gè zhì	三個𠙽
sān gè zhì	三個𦉼
sì gè yuē	四個曰
sì gè rì	四個日
sān gè zhì	三個𣥚
sān gè zhì	三個至
sān gè zhǔ	三個丶
sān gè zhú	三個竹
sān gè zhuī	三個隹
sān gè zi	三個子
sān gè zú	三個足
shí hé sì	十和四
shí shì shí	十是十
shǐ xiào shí	史肖石
shí xiǎo sì	石小四
shǒu zhǐ tou	手指頭
sì gè bǐ	四個匕
sì gè chè	四個屮
sì gè chē	四個車
sì gè chūn	四個春
sì gè cì	四個朿
sì gè fēng	四個風
sì gè gōng	四個工
sì gè guǒ	四個果
sì gè huǒ	四個火
sì gè jiǎ	四個甲
sì gè jīn	四個金
sì gè kǒu	四個口
sì gè kùn	四個困
sì gè lǎo	四個老
sì gè léi	四個雷
sì gè lín	四個林
sì gè lóng	四個龍
sì gè mén	四個門
sì gè niú	四個牛
sì gè qiě	四個且
sì gè qiú	四個囚
sì gè quán	四個泉
sì gè rén	四個人
sì gè rì	四個日
sì gè shí	四個石
sì gè shuǐ	四個水
sì gè sī	四個厶
sì gè tiān	四個天
sì gè tián	四個田
sì gè tǔ	四個土
sì gè xiān	四個先
sì gè xiǎo	四個小
sì gè xìng	四個興
sì gè yán	四個言
sì gè yì	四個乂
sì gè yòu	四個又
sì gè yú	四個魚
sì gè yuè	四個月
sì gè yún	四個雲
sì gè zhú	四個竹
sì shì sì	四是四
sì shí sì	四十四
tí xī hú	提錫壺
tīng wù lǐ	聽物理
tuǐ shuō zuǐ	腿說嘴
wéi yì míng	為一名
wèi yì míng	為一名
xīng yìng dēng	星映燈
yáng jiā yáng	楊家羊
yìng shí tou	硬石頭
yóu xī hú	遊西湖
yuè cháng yuè	越長越
yuè zhǎng dà	越長大
yuè zhǎng yuè	越長越
zhè shì cán	這是蠶
zǐ cí pán	紫瓷盤
zǐ pú táo	紫葡萄
zuǐ bù hēi	嘴不黑
zuǐ shuō tuǐ	嘴說腿
bái bái de é	白白的鵝
biàn bú biàn yí	便不便宜
biàn yí xíng shì	便宜行事
biàn yí zhī nèi	便宜之內
bù bō jú zi	不剝桔子
bù chī jú zi	不吃桔子
bú shì zì zhǐ	不是字紙
é yào guò hé	鵝要過河
féi féi de é	肥肥的鵝
fěn hóng fèng huáng	粉紅鳳凰
hé yào dù é	河要渡鵝
hóng fěn fèng huáng	紅粉鳳凰
jiǎng jiā de qiáng	蔣家的牆
kuān kuān de hé	寬寬的河
lüè cháng yì xiē	略長一些
lüè zhǎng jǐ suì	略長幾歲
pā pā pēng pēng	啪啪砰砰
pēng pēng pā pā	砰砰啪啪
tóng zhǒng dōng guā	同種冬瓜
wù lǐ wù lǐ	勿理物理
xī hū xī hú	惜乎錫壺
xiǎo zhí yáo tóu	小直搖頭
yuè cháng yuè hǎo	越長越好
yuè zhǎng yuè kuài	越長越快
ān xīn chàng ài gē	安心唱愛歌
áng shǒu xī fēi é	昂首吸飛蛾
áo yóu zhēn kuài huó	遨遊真快活
bá tuǐ jiù táo diào	拔腿就逃掉
bái é yǔ huī é	白鵝與灰鵝
bái shí dā shí tǎ	白石搭石塔
bái tǎ bái shí dā	白塔白石搭
bái tǎ bái yòu huá	白塔白又滑
běn shì hǔ zhuō hǔ	本是虎捉虎
bú huì chuī lǎ bā	不會吹喇叭
bú huì zhé lǎ bā	不會折喇叭
bù néng zài ái è	不能再挨餓
bú yào rēng le lí	不要扔了梨
cǎo wō àn yòu ǎi	草窩暗又矮
chàng dé kě yòu è	唱得渴又餓
chú tou yuàn zhū tóu	鋤頭怨豬頭
chú tou zhuàng shí tou	鋤頭撞石頭
chuāng shàng yì zhī qiāng	窗上一支槍
chuāng xià yī luó kāng	窗下一籮糠
chuāng yào kāng ràng qiāng	窗要糠讓槍
chuī zhe xiǎo lǎ bā	吹着小喇叭
dā hǎo bái shí tǎ	搭好白石塔
dài zhe là méi huā	帶着臘梅花
dì shàng mǎn shān dēng	地上滿山燈
dì shàng qī kuài bīng	地上七塊冰
dì shàng yì zhī māo	地上一隻貓
dì shàng yǒu zhǐ māo	地上有隻貓
dì xià yǒu shí tou	地下有石頭
dì zǐ sān shí sān	弟子三十三
diāo xià zǒu le māo	雕嚇走了貓
dōu shuō yào xiǎo gè	都說要小個
duō duō ràng gē ge	多多讓哥哥
gē ge ràng duō duō	哥哥讓多多
gǔ shàng huà lǎo hǔ	鼓上畫老虎
hái shì bù bǔ hǔ	還是布補虎
hái shì gǒu pà hóu	還是狗怕猴
hái shì gǒu yǎo hóu	還是狗咬猴
hái shì hé dù é	還是河渡鵝
hái shì pén pèng píng	還是盆碰瓶
hái shì rè rì tou	還是熱日頭
hé biān liǎng zhǐ é	河邊兩隻鵝
hé lǐ zhēn nuǎn huo	河裡真暖和
hēi māo bái bí zi	黑貓白鼻子
hù xiāng bú tuì ràng	互相不退讓
hú zi dǎ tuó zi	鬍子打駝子
huā fěn huā fèng huáng	花粉花鳳凰
huā niǎo pà huī māo	花鳥怕灰貓
huáng hè gǎo mù kè	黃賀搞木刻
jiǎ lí chà bù lí	假梨差不離
jiào liàn hé zhǔ lì	教練和主力
kāng gǎn bù zǒu qiāng	糠趕不走槍
kāng mái zhù le qiāng	糠埋住了槍
kāng yào qiāng shàng qiáng	糠要槍上牆
kēng chī kēng chī zǒu	吭哧吭哧走
kǒu kě yào chī lí	口渴要吃梨
lái dào shān pō pō	來到山坡坡
lǎo liú kuā xiǎo niú	老劉誇小牛
lǐ hǔ mǎn wū zhuǎn	李虎滿屋轉
lí zi diào xià dì	梨子掉下地
māo gǎn fēi le diāo	貓趕飛了雕
miàn pù mén cháo nán	面鋪門朝南
ó ó ài chàng gē	哦哦愛唱歌
pén lǐ yǒu gè píng	盆裡有個瓶
píng kǒu yǒu sāi tóu	瓶口有塞頭
pó pó hé mó mó	婆婆和嬤嬤
qiāng luò jìn le kāng	槍落進了糠
qiáng shàng qī méi dīng	牆上七枚釘
qiáng yào qiāng shàng chuāng	牆要槍上窗
sā le yáng gǔ tou	撒了羊骨頭
shān lǐ yǒu gè sì	山裏有個寺
shān wài yǒu gè shì	山外有個市
shēn shǒu ná gǔ tou	伸手拿骨頭
shī fù sì shí sì	師傅四十四
shí sì hé sì shí	十四和四十
shí sì shì shí sì	十四是十四
shí tou zá zhū tóu	石頭砸豬頭
shù shàng qī zhǐ yīng	樹上七隻鶯
shù xià dūn tiáo gǒu	樹下蹲條狗
sì shí hé shí sì	四十和十四
sì shí shì sì shí	四十是四十
tái shàng qī zhǎn dēng	台上七盞燈
tiān shàng qī kē xīng	天上七顆星
tuó zi dǎ hú zi	駝子打鬍子
tuó zi tiāo luó sī	駝子挑螺螄
wài pó lè hē hē	外婆樂呵呵
wáng kè xiě shī gē	王克寫詩歌
wù lǐ kàn wù lǐ	霧裏看物理
xī hú diào xī hú	錫壺掉西湖
xià le yì tiān yǔ	下了一天雨
xiǎo niǎo chàng zhī tóu	小鳥唱枝頭
xiǎo zhū niǔ tóu chǒu	小豬扭頭瞅
xiǎo zhū yuàn chú tou	小豬怨鋤頭
yì pán shēng yú chì	一盤生魚翅
yì pán shú yú chì	一盤熟魚翅
yì tiān tiān xià yǔ	一天天下雨
yǒu chī yòu yǒu hē	有吃又有喝
zhān le yì shēn ní	沾了一身泥
zhǐ de qù guò hé	只得去過河
zhǐ xū xǐ diào ní	只需洗掉泥
zuǐ lǐ yǒu shé tou	嘴裏有舌頭
zuò xià fēn guǒ guǒ	坐下分果果
bàn dǎo le tū yā tou	絆倒了禿丫頭
bǎn dèng bǐ biǎn dàn kuān	板凳比扁擔寬
biǎn dàn bǐ bǎn dèng cháng	扁擔比板凳長
bié lǎ bā de yǎ bā	別喇叭的啞巴
bù zhī shì é guò hé	不知是鵝過河
bù zhī shì hóu yǎo gǒu	不知是猴咬狗
bù zhī shì píng pèng pén	不知是瓶碰盆
cán cháng zài yè lǐ cáng	蠶常在葉裏藏
chán cháng zài lín lǐ chàng	蟬常在林裡唱
chī jú zi chī jú zi	喫桔子喫桔子
dào dǐ shì bù bǔ gǔ	到底是布補鼓
dì shàng yǒu zhǐ bái māo	地上有隻白貓
dì xià de yìng shí tou	地下的硬石頭
dì xià yǒu kuài shí tou	地下有塊石頭
èr bān yǒu gè wáng kè	二班有個王克
fáng zi lǐ yǒu xiāng zi	房子裡有箱子
guāng dòng tuǐ bú dòng zuǐ	光動腿不動嘴
guāng dòng zuǐ bú dòng tuǐ	光動嘴不動腿
hé zi lǐ yǒu zhuó zi	盒子裡有鐲子
hé zi wài yǒu xiá zi	盒子外有匣子
hēi māo de bái bí zi	黑貓的白鼻子
hóng hóng xiǎng yào hóng huā	紅紅想要紅花
huá huá xiǎng yào huáng huā	華華想要黃花
huā niǎo qiáo huī māo tiào	花鳥瞧灰貓跳
huí jiā qù jiàn mā ma	回家去見媽媽
huī māo tīng huā niǎo jiào	灰貓聽花鳥叫
jiū jìng shì hóu pà gǒu	究竟是猴怕狗
lā lā huì zhé lǎ bā	拉拉會折喇叭
mā ma yòng bù lái bǔ	媽媽用布來補
niú niú yào dǐng niū niū	牛牛要頂妞妞
shǐ xiào shí nián sì shí	史肖石年四十
shí xiǎo sì nián shí sì	石小四年十四
shǒu shàng de shǒu zhǐ tou	手上的手指頭
sì hé shí sì hé shí	四和十四和十
tiān shàng yǒu gè rì tou	天上有個日頭
tuǐ shuō zuǐ ài mài zuǐ	腿說嘴愛賣嘴
xiá zi lǐ yǒu hé zi	匣子裡有盒子
xiá zi wài yǒu xiāng zi	匣子外有箱子
xiāng zi lǐ yǒu xiá zi	箱子裡有匣子
xiāng zi wài yǒu fáng zi	箱子外有房子
yā yā huì chuī lǎ bā	丫丫會吹喇叭
yì bān yǒu gè huáng hè	一班有個黃賀
zhuó zi wài yǒu hé zi	鐲子外有盒子
zuǐ lǐ de ruǎn shé tou	嘴裏的軟舌頭
zuǐ lǐ yǒu gè shé tou	嘴裏有個舌頭
zuǐ shuō tuǐ ài pǎo tuǐ	嘴說腿愛跑腿
měi zhī dà shí shī zi	每隻大石獅子
yì zhī xiǎo shí shī zi	一隻小石獅子
sì zhī xiǎo shí shī zi	四隻小石獅子
bā bǎi biāo bīng bēn běi pō	八百標兵奔北坡
bā duǒ fěn hóng dà hé huā	八朵粉紅大荷花
bǎn dèng méi yǒu biǎn dàn cháng	板凳沒有扁擔長
bān lái bái shí dā bái tǎ	搬來白石搭白塔
běi pō pào bīng bìng pái pǎo	北坡炮兵並排跑
bǐ cǐ cōng cōng pǎo huí tóu	彼此匆匆跑回頭
bì hǔ bú gǎn yǎo lǐ hǔ	壁虎不敢咬李虎
biǎn dàn méi yǒu bǎn dèng kuān	扁擔沒有板凳寬
biāo bīng pà pèng pào bīng pào	標兵怕碰炮兵炮
bù rú bù cháng tuǐ hé zuǐ	不如不長腿和嘴
bú shì jī luǎn pǐn zhǒng luàn	不是雞卵品種亂
chī wán shì zi wán shí zǐ	吃完柿子玩石子
cóng běi biān lái gè yǎ ba	從北邊來個啞吧
dà qú shuǐ liú jìn xiǎo qú	大渠水流進小渠
dào le jiā lǐ chī shì zi	到了家裏吃柿子
dì xià yǒu kuài pò zhuān tóu	地下有塊破磚頭
èr rén shān qián lái bǐ tuǐ	二人山前來比腿
èr rén shān qián lái bǐ yǎn	二人山前來比眼
ér shì jī luǎn pí tài ruǎn	而是雞卵皮太軟
fǎn zhèng dōu shì liàn shé tou	反正都是練舌頭
fěn hóng qiáng shàng huà fèng huáng	粉紅牆上畫鳳凰
fēng chuī téng dòng tóng líng dòng	風吹藤動銅鈴動
fèng huáng huà zài fěn hóng qiáng	鳳凰畫在粉紅牆
fēng tíng téng tíng tóng líng tíng	風停藤停銅鈴停
gāng wǎng chuāng shàng hú zì zhǐ	剛往窗上糊字紙
gǒu fān qǐ lái yǎo zhù hóu	狗翻起來咬住猴
gǒu huí tóu lái wàng wàng hóu	狗回頭來望望猴
guà shàng lán bù mián mén lián	掛上藍布棉門簾
hóng hóng yǒu liǎng duǒ huáng huā	紅紅有兩朵黃花
hóu huí tóu lái wàng wàng gǒu	猴回頭來望望狗
hóu tiào xià lái zhuàng le gǒu	猴跳下來撞了狗
hú zhōu yǒu gè hú shū zi	湖州有個胡梳子
huā le yìng bì sì máo sì	花了硬幣四毛四
huáng hè wán chéng le mù kè	黃賀完成了木刻
huí jiā chī fàn lù yòu yuǎn	回家吃飯路又遠
huī māo tiào qǐ zhuā huā niǎo	灰貓跳起抓花鳥
huí tóu kàn jiàn yīng zhuā tù	回頭看見鷹抓兔
jiǎng jiā yào yáng jiā péi qiáng	蔣家要楊家賠牆
jīng cháng liàn shuō shí hé sì	經常練說十和四
lā lā zhǐ huì zhé lǎ bā	拉拉只會折喇叭
lán jiào liàn shì nǚ jiào liàn	藍教練是女教練
lán nán shì nán lán zhǔ lì	藍南是男籃主力
lǎo lǐ lā le yì chē lì	老李拉了一車慄
lǎo lǐ lā lì qù huàn lí	老李拉慄去換梨
lǎo lǐ rén chēng lǐ dà lì	老李人稱李大力
lǎo luó lā le yì chē lí	老羅拉了一車梨
lǎo luó lā lí zuò lí jiǔ	老羅拉梨做梨酒
lǎo luó rén chēng dà lì luó	老羅人稱大力羅
lǐ tou yǒu duī yáng gǔ tou	裡頭有堆羊骨頭
liǎng gè lè de xiào hā hā	兩個樂得笑哈哈
lóng dòng kùn lóng zài shēn dòng	龍洞困龍在深洞
lóng qù nóng tián zuò nóng gōng	龍去農田做農工
lǚ jiào liàn shì nán jiào liàn	呂教練是男教練
lǚ nán shì nǚ lán zhǔ lì	呂楠是女籃主力
mā ma jiàn le xiào hā hā	媽媽見了笑哈哈
mǎi le shí gè xiǎo shì zi	買了十個小柿子
mài luǎn mài luǎn shǐ jìn hǎn	賣卵賣卵使勁喊
mǎn shān dēng jiē mǎn tiān xīng	滿山燈接滿天星
mǎn tiān xīng liàng mǎn tiān tíng	滿天星亮滿天庭
miàn pù hái shì mén cháo nán	面鋪還是門朝南
mò bǎ sì zì shuō chéng shí	莫把四字說成十
mó mó mò mò bá luó bo	嬤嬤默默拔蘿蔔
ná zhe sì gè xiǎo lán zi	拿着四個小籃子
ní lǐ liǎng duì niǎo dào diào	泥裡兩對鳥倒吊
niū niū gǎn niú niú bù zǒu	妞妞趕牛牛不走
niū niū hù liǔ niú niǔ tóu	妞妞護柳牛扭頭
niū niū hù liǔ yào gǎn niú	妞妞護柳要趕牛
niū niū jiǎn qǐ xiǎo shí tóu	妞妞撿起小石頭
niū niū niǔ niú niú gèng ǎo	妞妞扭牛牛更拗
niū niū niǔ niú niú gèng niú	妞妞扭牛牛更牛
niú niú niǔ tóu chǒu niū niū	牛牛扭頭瞅妞妞
niú niú yào chī hé biān liǔ	牛牛要吃河邊柳
niú niú yào dǐng xiǎo niū niū	牛牛要頂小妞妞
pā zhe bā zhǐ huó há má	趴着八隻活蛤蟆
pā zhe yì zhī huó há má	趴着一隻活蛤蟆
pào bīng pà bǎ biāo bīng pèng	炮兵怕把標兵碰
pó pó mò mò cǎi mó gū	婆婆默默採蘑菇
pō shàng lì zhe yì zhī é	坡上立着一隻鵝
pō shàng wò zhe yì zhī é	坡上臥着一隻鵝
pō xià jiù shì yì tiáo hé	坡下就是一條河
pō xià liú zhe yì tiáo hé	坡下流着一條河
qiáo xī zǒu lái yì zhī hóu	橋西走來一隻猴
qīng lóng dòng zhōng yǒng chū lóng	青龍洞中湧出龍
qīng lóng zuò mèng chū lóng dòng	青龍做夢出龍洞
shān hòu yǒu gè cuī tuǐ cū	山後有個崔腿粗
shān hòu yǒu gè yán yǎn yuán	山後有個嚴眼圓
shān qián yǒu gè cuī cū tuǐ	山前有個崔粗腿
shān qián yǒu gè yán yuán yǎn	山前有個嚴圓眼
shàng jiē dǎ cù yòu mǎi bù	上街打醋又買布
shàng qián qù zhuī yīng hé tù	上前去追鷹和兔
shí le sì shí xiǎo shí zi	拾了四十小石子
shí xiǎo sì hé shǐ xiào shí	石小四和史肖石
shù shàng jié le bái guǒ guǒ	樹上結了白果果
shuí dōu bù lái mǎi jī luǎn	誰都不來買雞卵
shuí shuō shí sì shì shì shí	誰說十四是適時
shuí shuō sì shí shì xì xí	誰說四十是細席
sì gè hái zi chū guǒ shì	四個孩子出果市
sòng zài kǒu lǐ kěn gǔ tou	送在口裡啃骨頭
tā de shé tou méi shēn zhí	他的舌頭沒伸直
tā de shé tou méi yòng lì	他的舌頭沒用力
téng tiáo tóu shàng guà tóng líng	藤條頭上掛銅鈴
tī dào lǎo liú yì píng yóu	踢倒老劉一瓶油
tí gè lán zi mài jī luǎn	提個籃子賣雞卵
tí lā tǎ ma de lǎ ma	提拉塔嘛的喇嘛
tí lā zhe wǔ jīn tǎ ma	提拉着五斤塔嘛
wáng kè èr rén gǎo chuàng zuò	王克二人搞創作
wáng kè xiě hǎo le shī gē	王克寫好了詩歌
xià dé niú niú niǔ tóu liū	嚇得牛牛扭頭溜
xià dé niú niú niǔ tóu zǒu	嚇得牛牛扭頭走
xiān huà yì duǒ là méi huā	先畫一朵臘梅花
xiǎo gé huà le duǒ huáng huā	小葛畫了朵黃花
xiǎo guō huà le duǒ hóng huā	小郭畫了朵紅花
xiǎo lì yòng ní xué niē lí	小麗用泥學捏梨
xiǎo niú huí jiā qǔ lái yóu	小牛回家取來油
xiǎo qú shuǐ liú jìn dà qú	小渠水流進大渠
xiǎo zhū xiǎo zhū káng chú tou	小豬小豬扛鋤頭
xíng dào qiáo xīn pèng le tóu	行到橋心碰了頭
xiū jiāng shí zì shuō chéng sì	休將十字說成四
yā sǐ le yáng jiā de yáng	壓死了楊家的羊
yā yā zhǐ huì chuī lǎ bā	丫丫只會吹喇叭
yǎn kàn zhe lí shǒu niē ní	眼看着梨手捏泥
yáng jiā yǎng le yì zhī yáng	楊家養了一隻羊
yáng jiā yào jiǎng jiā péi yáng	楊家要蔣家賠羊
yào chī qīng zhēng měi yú chì	要吃清蒸美魚翅
yāo lǐ bié zhe gè lǎ bā	腰裡別着個喇叭
yí cì sī xià héng zì zhǐ	一次撕下橫字紙
yí cì sī xià shù zì zhǐ	一次撕下豎字紙
yì kǒu yú chì gāng dào zuǐ	一口魚翅剛到嘴
yì tóng lái dào yuè lǎn shì	一同來到閱覽室
yí wèi yé ye tā xìng gù	一位爺爺他姓顧
yǒu gè lǎn hàn běn xìng ruǎn	有個懶漢本姓阮
yǒu gè miàn pù mén cháo nán	有個面鋪門朝南
yòu huà yí gè xiǎo lǎ bā	又畫一個小喇叭
yóu yú èr rén gǎo xié zuò	由於二人搞協作
yú cì cì jìn chǐ fèng lǐ	魚刺刺進齒縫裏
yú gōng tǒng kāi qīng lóng dòng	愚公捅開青龍洞
zhāi le lán bù mián mén lián	摘了藍布棉門簾
zhuàng tā le jiǎng jiā de qiáng	撞塌了蔣家的牆
zhuō shàng fàng kuài xiàng pí ní	桌上放塊橡皮泥
zì cóng lái le xīn yú gōng	自從來了新愚公
zuò le qiān nián wàn zǎi mèng	做了千年萬載夢
bái māo de hēi bí zi pò le	白貓的黑鼻子破了
bái māo shān shàng yǒu zuò bái miào	白貓山上有座白廟
bái shí tǎ bái shí bái yòu huá	白石塔白石白又滑
biǎn dàn hé bǎn dèng bǎn dèng kuān	扁擔和板凳板凳寬
biǎn dàn yào bǎng zài bǎn dèng shàng	扁擔要綁在板凳上
chī pú táo bù tǔ pú táo pí	吃葡萄不吐葡萄皮
cóng nán biān lái le gè lǎ ma	從南邊來了個喇嘛
diāo yǔ māo shù shàng yǒu zhǐ diāo	雕與貓樹上有隻雕
dǒng jiā dōu dǒng de zhǒng dōng guā	董家都懂得種冬瓜
fēn bù qīng shì dēng hái shì xīng	分不清是燈還是星
fēn guǒ guǒ duō duō hé gē ge	分果果多多和哥哥
gōng yuán yǒu sì pái shí shī zi	公園有四排石獅子
gǒu yǔ hóu shù shàng wò zhǐ hóu	狗與猴樹上臥只猴
hái shì bú ràng xiǎo niú bù yóu	還是不讓小牛不油
hēi māo de bái bí zi bú pò	黑貓的白鼻子不破
huī māo zhuī huā niǎo huī māo tiào	灰貓追花鳥灰貓跳
jú pí diū zài lā jī xiāng lǐ	桔皮丟在垃圾箱裏
lā lā jiào yā yā zhé lǎ bā	拉拉教丫丫折喇叭
lái dào dǒng jiā xué zhǒng dōng guā	來到董家學種冬瓜
lán jiào liàn bú shì nán jiào liàn	藍教練不是男教練
lǎo liú bú yào xiǎo niú hái yóu	老劉不要小牛還油
lí hé lí gēng dì yào yòng lí	梨和犁耕地要用犁
lǐ hǔ yě zhuō bú zhù bì hǔ	李虎也捉不住壁虎
lǚ jiào liàn bú shì nǚ jiào liàn	呂教練不是女教練
mài bù chū jī luǎn nán mǎi fàn	賣不出雞卵難買飯
māo bí zi bái māo hēi bí zi	貓鼻子白貓黑鼻子
mén dōng dǒng jiā dǒng zhǒng dōng guā	門東董家懂種冬瓜
niǎo hé māo shù shàng yì zhī niǎo	鳥和貓樹上一隻鳥
pén hé píng zhuō shàng fàng gè pén	盆和瓶桌上放個盆
pèng pò le bái māo hēi bí zi	碰破了白貓黑鼻子
qiāng hé kāng qiáng shàng yí gè chuāng	槍和糠牆上一個窗
qiāng yě shàng bù liǎo chuāng hé qiáng	槍也上不了窗和牆
qīng pú táo méi zǐ pú táo zǐ	青葡萄沒籽葡萄紫
sān niáng zhǎo dào sān zhǐ shān yáng	三娘找到三隻山羊
sān zhǐ shān yáng fān guò shān liáng	三隻山羊翻過山梁
shì zì zhǐ nǐ jiù sī zì zhǐ	是字紙你就撕字紙
shǒu shàng yǒu wǔ gè shǒu zhǐ tou	手上有五個手指頭
sì gè tóu tiān shàng yǒu rì tou	四個頭天上有日頭
xiàng lǎo liú dào qiàn yòu péi yóu	向老劉道歉又賠油
xiǎo huā gǔ yì miàn xiǎo huā gǔ	小花鼓一面小花鼓
yā yā jiào lā lā chuī lǎ bā	丫丫教拉拉吹喇叭
yáng jiǎng jiā qì le yī duǒ qiáng	羊蔣家砌了一垛牆
zhuō bì hǔ lǐ hǔ zhuō bì hǔ	捉壁虎李虎捉壁虎
bái jiā mén qián yì kē bái guǒ shù	白家門前一棵白果樹
biǎn dàn bǎng zài nà gè bǎn dèng shàng	扁擔綁在那個板凳上
bié lǎ bā de yǎ bā chuī lǎ bā	別喇叭的啞巴吹喇叭
bō le bǐ gǔ ké er bǔ bí zi	剝了秕穀殼兒補鼻子
bù bō bǐ gǔ ké er bǔ bí zi	不剝秕穀殼兒補鼻子
bù chī pú táo dào tǔ pú táo pí	不吃葡萄倒吐葡萄皮
bù guǎn shì tiān shàng de rè rì tou	不管是天上的熱日頭
bù zhī shì yán yuán yǎn de yǎn yuán	不知是嚴圓眼的眼圓
dǎ nà bǎi shí bǎi gè bái bān jiū	打那百十百個白斑鳩
dì xià shì shí tou bú shì rì tou	地下是石頭不是日頭
dǒng liǎng jiā de dōng guā bǐ tǒng dà	董兩家的冬瓜比桶大
gē bo shàng kuà zhe gè pò bā dǒu	胳膊上挎着個破笆鬥
hēi zhū tīng bà xiào dé hēi hēi hēi	黑豬聽罷笑得嘿嘿嘿
hú luàn shāo bǎ làn cǎo qǔ qǔ nuǎn	胡亂燒把爛草取取暖
huáng hè bāng zhù wáng kè xiě shī gē	黃賀幫助王克寫詩歌
jiè gěi liù dòu liù shēng lǜ lǜ dòu	借給六斗六升綠綠豆
kēng yō kēng yō bá tuō qī méi dīng	吭唷吭唷拔脫七枚釘
lái jiào dōng mén tóng jiā zhòng dōng guā	來教東門童家種冬瓜
mén shàng guà zhe lán bù mián mén lián	門上掛着藍布棉門簾
mó mó dài le yí gè báo pǒ luó	嬤嬤帶了一個薄笸籮
mó mó mài le luó bo mǎi mó mó	嬤嬤賣了蘿蔔買饃饃
nǐ cāi lǎo liú ràng xiǎo niú hái yóu	你猜老劉讓小牛還油
nǐ jiù gé zhe chuāng hù sī zì zhǐ	你就隔着窗戶撕字紙
ō xū ō xū gǎn zǒu qī zhǐ yīng	喔噓喔噓趕走七隻鶯
pīng pīng pāng pāng tà huài qī kuài bīng	乒乒乓乓踏壞七塊冰
píng zhōng shì sāi tóu bú shì shé tou	瓶中是塞頭不是舌頭
pó pó cǎi le mó gū huàn bō bō	婆婆採了蘑菇換餑餑
pó pó ná le yí gè pò bò ji	婆婆拿了一個破簸箕
ruò yào fēn qīng sì shí hé shí sì	若要分清四十和十四
sān zhǐ shān yáng duǒ zài shān shù páng	三隻山羊躲在杉樹旁
shì zuò yóu xì hái shì wán wán jù	是做遊戲還是玩玩具
shù shàng de niǎo xiǎng zhuó māo de máo	樹上的鳥想啄貓的毛
sòng huā huá huá yǒu liǎng duǒ hóng huā	送花華華有兩朵紅花
téng dé xiǎo chí pāi tuǐ náo yá chǐ	疼得小池拍腿撓牙齒
tiān shàng shì rì tou bú shì shí tou	天上是日頭不是石頭
tóng jiā zhī dào dǒng jiā dōng guā dà	童家知道董家冬瓜大
tuó zi tuō zhù hú zi de lǘ zǐ	駝子拖住鬍子的驢子
wáng kè bāng zhù huáng hè gǎo mù kè	王克幫助黃賀搞木刻
wū yā shuō tā shēn bǐ hēi zhū hēi	烏鴉說它身比黑豬黑
xiǎo huā māo xiǎo huā māo ài huà huà	小花貓小花貓愛畫畫
