shū luǎn guǎn ái	输卵管癌
dòng mài zhuǎn liú shù	动脉转流术
dòng mài zhuàn wèi shù	动脉转位术
dòng yǎn shén jīng gōu	动眼神经沟
dòng yǎn shén jīng zhī	动眼神经支
dòu chuāng yàng cuó chuāng	痘疮样痤疮
dòu dào guā chú shù	窦道刮除术
dù ā èr shì bìng	杜阿二氏病
dú fán qì xuè zhèng	毒燔气血证
dú fán qì yíng zhèng	毒燔气营证
dú fǔ jī gǔ zhèng	毒腐肌骨证
dù gé èr shì bìng	杜格二氏病
dù gè pái qì guǎn	镀铬排气管
dù kè zhěn rè bìng	杜克疹热病
dú qīn fèi wèi zhèng	毒侵肺卫证
dú rù qì yíng zhèng	毒入气营证
dú rù xuè fēn zhèng	毒入血分证
dú rù yíng xuè zhèng	毒入营血证
dù sāi èr shì zhēng	杜塞二氏征
dú shèng niàng nóng zhèng	毒盛酿脓证
dú shèng ròu fǔ zhèng	毒盛肉腐证
dù sī èr shì bìng	杜斯二氏病
dú xiàn xīn gān zhèng	毒陷心肝证
dú xié liú cuàn zhèng	毒邪流窜证
dú xié nèi bì zhèng	毒邪内闭证
dú xié nèi gōng zhèng	毒邪内攻证
dú xié yùn jié zhèng	毒邪蕴结证
dú yōng qì fēn zhèng	毒壅气分证
dú yōng shàng jiāo zhèng	毒壅上焦证
dú yùn kuì làn zhèng	毒蕴溃烂证
dú zài qì yíng zhèng	毒在气营证
dú zhì jī fū zhèng	毒滞肌肤证
duàn céng chéng xiàng shù	断层成像术
duàn céng shè yǐng shù	断层摄影术
duǎn cháng zōng hé zhēng	短肠综合征
duàn ěr zài jiē shù	断耳再接术
duǎn jǐng zōng hé zhēng	短颈综合征
duǎn jǐng zōng hé zhèng	短颈综合症
duǎn lèi zōng hé zhēng	短肋综合征
duàn zhǐ zài zhí shù	断指再植术
duàn zhī zài zhí shù	断肢再植术
duǎn zhī zōng hé zhēng	短肢综合征
duì lì fǎn kàng zhèng	对立反抗症
duì rén kǒng jù zhèng	对人恐惧症
duì zhǎng chéng xíng shù	对掌成形术
duō fā xìng jī xíng	多发性畸形
duō fā xìng jī yán	多发性肌炎
duō fā xìng jiē zhǒng	多发性疖肿
duō fā xìng nóng zhǒng	多发性脓肿
duō jí shén jīng yuán	多极神经元
duō jiǎo xì bāo ái	多角细胞癌
duō pǔ zhào xiàng shù	多谱照像术
duō xíng xìng xiàn liú	多形性腺瘤
duō zhǐ zhǐ jī xíng	多指趾畸形
è bàn xiū fù shù	腭瓣修复术
é bǎn zhàng jìng mài	额板障静脉
é bù qián yí shù	额部前移术
é dòu gēn zhì shù	额窦根治术
é dòu kāi chuāng shù	额窦开窗术
é dòu qiē kāi shù	额窦切开术
è è xìng zhǒng liú	腭恶性肿瘤
è fān suō duǎn shù	腭帆缩短术
è gōng chéng xíng shù	腭弓成形术
è hòu tiān jī xíng	腭后天畸形
é jī xuán diào shù	额肌悬吊术
è kǒu xiàn chóng bìng	腭口线虫病
è kǒu xiàn chóng bìng	颚口线虫病
è liáng xìng zhǒng liú	腭良性肿瘤
è liè xiū bǔ shù	腭裂修补术
è liè xiū bǔ shù	颚裂修补术
è liè xiū fù shù	腭裂修复术
è liú qiē chú shù	腭瘤切除术
è lòu xiū bǔ shù	腭瘘修补术
è nián mó yán zhèng	腭黏膜炎症
è rǔ tóu náng zhǒng	腭乳头囊肿
é shāi dòu nóng zhǒng	额筛窦脓肿
è xìng hóu zhǒng liú	恶性喉肿瘤
è xìng hùn hé liú	恶性混合瘤
