wú yòng	吴用
wú zǐ	吴子
xī jīn	奚斤
xī zhòng	奚仲
xiāo bāng	肖邦
xiāo gāng	肖钢
xiāo hóng	肖红
xiāo huá	肖华
xiāo nài	肖奈
xiāo qīn	肖钦
xiāo quán	肖全
xiāo yáng	肖扬
xiāo yì	萧绎
xiāo yì	萧意
xiāo yì	萧翼
xiāo yīng	肖鹰
xiè ān	谢安
xiè bīn	谢彬
xiè dān	谢丹
xiè duān	谢端
xiè dùn	谢顿
xiè fēi	谢飞
xiè fēi	谢非
xiè fēng	谢锋
xiè gōng	谢公
xiè hè	谢赫
xiè huá	谢华
xiè huì	谢晦
xiè jiàng	谢绛
xiè kē	谢科
xiè kē	谢薖
xiè lǎng	谢朗
xiè lěi	谢磊
xiè lín	谢林
xiè mào	谢懋
xiè miǎo	谢邈
xiè píng	谢平
xiè qiān	谢迁
xiè shàng	谢尚
xiè tè	谢特
xiè tiān	谢添
xiè wěi	谢伟
xiè xiè	谢燮
xiè xuán	谢玄
xiè xùn	谢逊
xiè yǎn	谢琰
xiè yǎn	谢偃
xiè yè	谢烨
xú bīng	徐冰
xú chén	徐晨
xǔ chǔ	许褚
xú dá	徐达
xú fēi	徐妃
xú fú	徐福
xǔ fù	许负
xú huǎng	徐晃
xú huì	徐惠
xǔ hún	许浑
xǔ jì	许稷
xǔ jiāng	许将
xǔ jìng	许靖
xú kè	徐克
xú liàng	徐亮
xú miǎo	徐邈
xú míng	徐明
xǔ shèn	许慎
xú shèng	徐盛
xú shù	徐庶
xǔ táng	许棠
xú wèi	徐渭
xǔ xiān	许仙
xú xiáng	徐翔
xú xuān	徐宣
xú yì	徐奕
xǔ yōu	许攸
xǔ yóu	许由
xǔ zhé	许哲
xuē bà	薛霸
xuē féng	薛逢
xuē gāng	薛刚
xuē jì	薛稷
xuē jǔ	薛举
xuē jù	薛据
xuē lǐ	薛礼
xuē nè	薛讷
xuē néng	薛能
xuē pán	薛蟠
xuē shào	薛绍
xuē shì	薛式
xuē suì	薛燧
xuē tāo	薛涛
xuē xuān	薛瑄
xuē xuě	薛雪
xuē yáng	薛洋
xuē yào	薛曜
xuē yíng	薛莹
xuē yuè	薛岳
yán ān	闫安
yán bīn	严彬
yán fāng	闫芳
yán fáng	阎防
yán fù	严复
yán luó	阎罗
yán mó	阎魔
yān qīng	燕青
yán róu	阎柔
yān shùn	燕顺
yán sōng	严嵩
yán wang	阎王
yán xíng	阎行
yán yàn	阎焱
yán yǔ	阎宇
yán zhì	阎志
yáng dù	杨度
yáng fēi	杨妃
yáng fù	杨阜
yáng guǎng	杨广
yáng guò	杨过
yáng hóng	杨弘
yáng jiǎn	杨戬
yáng jiān	杨坚
yáng jiàng	杨绛
yáng jiǒng	杨炯
yáng jùn	杨骏
yáng jùn	杨浚
yáng jùn	杨濬
yáng kāng	杨康
yáng kuān	杨宽
yáng kuí	杨逵
yáng kuí	杨夔
yáng láo	杨牢
yáng pǔ	杨朴
yáng rèn	杨任
yáng róng	杨荣
yáng shèn	杨慎
yáng sù	杨素
yáng sǔn	杨损
yáng xióng	杨雄
yáng xiū	杨修
yáng yè	杨业
yáng yí	杨仪
yáng zhāo	杨昭
yáng zhèn	杨震
yáng zhū	杨朱
yáo bīn	姚滨
yáo cháng	姚苌
yáo chóng	姚崇
yáo hé	姚合
yáo hóng	姚泓
yáo hú	姚鹄
yáo jiǎ	姚贾
yáo kuí	姚揆
yáo miǎn	姚勉
yáo mǐn	姚敏
yáo míng	姚明
yáo nài	姚鼐
yáo qiān	姚谦
yáo xiān	姚仙
yáo xiāng	姚襄
yáo xīng	姚兴
yáo yáng	姚洋
yáo yíng	姚莹
yè fán	叶凡
yè fēi	叶飞
yè gōng	叶公
yè guì	叶桂
yè kāi	叶开
yè lán	叶澜
yè lǎng	叶朗
yè lì	叶莉
yè mào	叶茂
yè méi	叶梅
yè qiū	叶秋
yè qún	叶群
yè shì	叶适
yè shuài	叶帅
yè tán	叶檀
yè tǐng	叶挺
yè wèn	叶问
yè xiū	叶修
yè zhī	叶芝
yóu quán	尤权
yóu tóng	尤侗
yú bīn	俞斌
yú hào	俞浩
yú jìng	余靖
yú jūn	俞军
yù liàng	郁亮
yú yú	俞渝
yú yuè	俞樾
yuán ān	袁安
yuán bīn	袁彬
yuán gēng	袁庚
yuán guàn	袁瓘
yuán hóng	袁洪
yuán hóng	袁宏
yuán huàn	袁涣
yuán jiāo	袁郊
yuán kē	袁珂
yuán lǎng	袁朗
yuán lǐn	元凛
yuán méi	袁枚
yuán mǐn	袁敏
yuán shàng	袁尚
yuán shù	袁术
yuán shū	袁殊
yuán tán	袁谭
yuán táo	袁绹
yuán xī	袁熙
yuán yào	袁耀
yuán yīng	袁鹰
yuán yuè	袁岳
zāng bà	臧霸
zāng hóng	臧洪
zēng chéng	曾诚
zēng gǒng	曾巩
zēng jiāng	曾江
zēng kuí	曾揆
zēng zǐ	曾子
zhāng áo	张敖
zhāng bǎo	张宝
zhāng chǔ	张楚
zhāng chún	张纯
zhāng dá	张达
zhāng dài	张岱
zhāng ěr	张耳
zhāng fàn	张范
zhāng fēi	张飞
zhāng fēi	张菲
zhāng gā	张嘎
zhāng hé	张郃
zhāng héng	张衡
zhāng hóng	张纮
zhāng huá	张华
zhāng jì	张继
zhāng jí	张籍
zhāng jì	张济
zhāng jì	张既
zhāng jiǎn	张謇
zhāng jiǎo	张角
zhāng jié	张洁
zhāng jǔ	张矩
zhāng kǎi	张闿
zhāng lěi	张磊
zhāng liàng	张亮
zhāng liáng	张良
zhāng lǔ	张鲁
zhāng mào	张茂
zhāng níng	张宁
zhāng qiān	张骞
zhāng shuō	张说
zhāng sōng	张松
zhāng tíng	张庭
zhāng wěi	张炜
zhāng xiù	张绣
zhāng xù	张旭
zhāng xuán	张悬
zhāng xūn	张勋
zhāng xún	张巡
zhāng yì	张毅
zhāng yí	张仪
zhāng yí	张嶷
zhāng yǔ	张宇
zhāng zài	张载
zhāng zhāo	张昭
zhāng zhào	张照
zhāng zhèn	张震
zhào gāo	赵高
zhào gòu	赵构
zhào héng	赵恒
zhào jī	赵姬
zhào jí	赵佶
zhào pǔ	赵普
zhào shē	赵奢
zhào tuó	赵佗
zhào wáng	赵王
zhào yǎn	赵俨
zhào yì	赵翼
zhào yún	赵云
zhèng hé	郑和
zhèng jīng	郑经
zhèng xiè	郑獬
zhèng xìn	郑信
zhèng xiù	郑袖
